"player_id","name","week","team","number","position","dob"
"00-0030098","Dustin Hopkins",2,"CLE","6","K","10/01/1990"
"00-0030114","Jordan Poyer",2,"BUF","21","SS","04/25/1991"
"00-0030140","Tress  Way",1,"WAS","10","P","04/18/1990"
"00-0030140","Tress Way",2,"WAS","5","P","04/18/1990"
"00-0030279","Keenan  Allen",1,"LAC","13","WR","04/27/1992"
"00-0030279","Keenan Allen",2,"LAC","13","WR","04/27/1992"
"00-0030332","Brett Maher",2,"LAR","6","K","11/21/1989"
"00-0030386","William Gholston",2,"TB","92","DE","07/31/1991"
"00-0030431","Robert Woods",2,"HOU","2","WR","04/10/1992"
"00-0030459","Tyrann Mathieu",2,"NO","32","FS","05/13/1992"
"00-0030463","A.J. Klein",2,"BUF","54","OLB","07/30/1991"
"00-0030500","Nick Williams",2,"LAC","97","DT","02/21/1990"
"00-0030506","Travis  Kelce",1,"KC","87","TE","10/05/1989"
"00-0030506","Travis Kelce",2,"KC","87","TE","10/05/1989"
"00-0030513","Latavius Murray",2,"BUF","28","RB","01/18/1990"
"00-0030533","Matt Barkley",2,"BUF","","QB","09/08/1990"
"00-0030561","Lane  Johnson",1,"PHI","65","T","05/08/1990"
"00-0030561","Lane Johnson",2,"PHI","65","T","05/08/1990"
"00-0030564","DeAndre  Hopkins",1,"BAL","10","WR","06/06/1992"
"00-0030564","DeAndre Hopkins",2,"TEN","10","WR","06/06/1992"
"00-0030565","Geno  Smith",1,"LV","7","QB","10/10/1990"
"00-0030565","Geno Smith",2,"SEA","7","QB","10/10/1990"
"00-0030578","Cordarrelle Patterson",2,"ATL","84","RB","03/17/1991"
"00-0030615","James  Winchester",1,"KC","41","LS","08/06/1989"
"00-0030615","James Winchester",2,"KC","41","LS","08/06/1989"
"00-0030649","Jonotthan Harrison",2,"ATL","64","C","08/25/1991"
"00-0030663","Willie Snead",2,"SF","","WR","10/17/1992"
"00-0030694","James Hurst",2,"NO","74","T","12/17/1991"
"00-0030725","Cornelius  Lucas",1,"CLE","71","T","07/18/1991"
"00-0030725","Cornelius Lucas",2,"WAS","78","T","07/18/1991"
"00-0030757","Mike  Pennel",1,"CIN","69","NT","05/09/1991"
"00-0030792","Justin McCray",2,"CAR","64","C","05/31/1992"
"00-0030827","Tyler Shatley",2,"JAX","69","G","05/05/1991"
"00-0030829","Josh Wells",2,"JAX","72","T","02/14/1991"
"00-0030869","Tyler Larsen",2,"WAS","69","C","07/08/1991"
"00-0030946","Kerry Hyder",2,"SF","51","DE","05/02/1991"
"00-0030957","Casey  Kreiter",1,"NYG","59","LS","08/13/1990"
"00-0030957","Casey Kreiter",2,"NYG","58","LS","08/13/1990"
"00-0030968","Keith Smith",2,"ATL","40","FB","03/20/1980"
"00-0031019","Corey Linsley",2,"LAC","63","C","07/27/1991"
"00-0031039","James Ferentz",2,"NE","","C","06/05/1989"
"00-0031040","Khalil  Mack",1,"LAC","52","OLB","02/22/1991"
"00-0031040","Khalil Mack",2,"LAC","52","DE","02/22/1991"
"00-0031054","DaQuan  Jones",1,"BUF","92","NT","12/27/1991"
"00-0031054","DaQuan Jones",2,"BUF","90","DT","12/17/1991"
"00-0031067","Cameron Fleming",2,"DEN","73","T","09/03/1992"
"00-0031079","Pat O'Donnell",2,"GB","16","P","02/22/1991"
"00-0031095","Charles Leno Jr.",2,"WAS","72","T","10/09/1991"
"00-0031097","Terrance Mitchell",2,"SF","39","CB","05/17/1992"
"00-0031101","Shaquil Barrett",2,"TB","58","OLB","11/17/1992"
"00-0031136","Chris  Boswell",1,"PIT","9","K","03/16/1991"
"00-0031136","Chris Boswell",2,"PIT","9","K","03/16/1991"
"00-0031142","Matt Feiler",2,"TB","71","G","07/07/1992"
"00-0031156","Tyler  Ott",1,"WAS","69","LS","02/28/1992"
"00-0031156","Tyler Ott",2,"BAL","69","LS","02/28/1992"
"00-0031177","Brent Urban",2,"BAL","95","DE","05/05/1991"
"00-0031203","Cairo  Santos",1,"CHI","8","K","11/12/1991"
"00-0031203","Cairo Santos",2,"CHI","2","K","11/12/1991"
"00-0031235","Odell Beckham Jr.",2,"BAL","3","WR","11/05/1992"
"00-0031236","Brandin  Cooks",1,"NO","10","WR","09/25/1993"
"00-0031236","Brandin Cooks",2,"DAL","13","WR","09/25/1993"
"00-0031237","Teddy  Bridgewater",1,"TB","10","QB","11/10/1992"
"00-0031237","Teddy Bridgewater",2,"DET","5","QB","11/10/1992"
"00-0031253","K'Waun Williams",2,"DEN","24","CB","07/12/1991"
"00-0031254","Denico Autry",2,"TEN","96","DE","07/15/1990"
"00-0031260","Logan Thomas",2,"WAS","82","TE","07/01/1991"
"00-0031270","Shelby  Harris",1,"CLE","93","DT","08/11/1991"
"00-0031270","Shelby Harris",2,"CLE","96","DT","08/11/1991"
"00-0031279","Jake  Matthews",1,"ATL","70","T","02/11/1992"
"00-0031279","Jake Matthews",2,"ATL","70","T","02/11/1992"
"00-0031280","Derek Carr",2,"NO","4","QB","03/28/1991"
"00-0031296","C.J. Mosley",2,"NYJ","57","ILB","06/19/1992"
"00-0031298","Jimmie Ward",2,"HOU","1","FS","07/18/1991"
"00-0031330","Morgan  Moses",1,"NE","76","T","03/03/1991"
"00-0031330","Morgan Moses",2,"BAL","78","T","03/03/1991"
"00-0031345","Jimmy  Garoppolo",1,"LAR","11","QB","11/02/1991"
"00-0031345","Jimmy Garoppolo",2,"LV","10","QB","11/02/1991"
"00-0031346","Justin Ellis",2,"ATL","71","DT","12/27/1990"
"00-0031357","C.J.  Goodwin",1,"DAL","29","CB","02/04/1990"
"00-0031357","C.J. Goodwin",2,"DAL","29","CB","02/04/1990"
"00-0031360","Kyle  Van Noy",1,"BAL","53","OLB","03/26/1991"
"00-0031361","Christian Kirksey",2,"HOU","58","OLB","08/31/1992"
"00-0031362","Trai Turner",2,"NO","51","G","06/14/1993"
"00-0031364","Jadeveon Clowney",2,"BAL","90","OLB","02/14/1993"
"00-0031372","Bradley Roby",2,"NO","21","CB","05/01/1992"
"00-0031376","Jerick McKinnon",2,"KC","1","RB","05/03/1992"
"00-0031381","Davante  Adams",1,"LAR","17","WR","12/24/1992"
"00-0031381","Davante Adams",2,"LV","17","WR","12/24/1992"
"00-0031388","Aaron Donald",2,"LAR","99","DT","05/23/1991"
"00-0031402","Zack Martin",2,"DAL","70","G","11/20/1990"
"00-0031404","Adrian Phillips",2,"NE","21","FS","03/28/1992"
"00-0031408","Mike  Evans",1,"TB","13","WR","08/21/1993"
"00-0031408","Mike Evans",2,"TB","13","WR","08/21/1993"
"00-0031411","DeMarcus  Lawrence",1,"SEA","","OLB","04/28/1992"
"00-0031411","Demarcus Lawrence",2,"DAL","90","DE","04/02/1992"
"00-0031426","Joel  Bitonio",1,"CLE","75","G","10/11/1991"
"00-0031426","Joel Bitonio",2,"CLE","75","G","10/11/1991"
"00-0031428","Allen Robinson",2,"PIT","12","WR","08/24/1993"
"00-0031433","Billy Turner",2,"NYJ","77","T","10/17/1991"
"00-0031484","Chris  Manhertz",1,"NYG","85","TE","04/10/1992"
"00-0031484","Chris Manhertz",2,"DEN","84","TE","04/10/1992"
"00-0031492","Jason  Myers",1,"SEA","5","K","05/12/1991"
"00-0031492","Jason Myers",2,"SEA","5","K","05/12/1991"
"00-0031500","Efe Obada",2,"WAS","93","DE","04/13/1992"
"00-0031503","Jameis  Winston",1,"NYG","19","QB","01/06/1994"
"00-0031503","Jameis Winston",2,"NO","2","QB","01/06/1994"
"00-0031534","La'el Collins",2,"CIN","71","T","07/26/1993"
"00-0031544","Amari Cooper",2,"CLE","19","WR","06/17/1994"
"00-0031547","DeVante Parker",2,"NE","11","WR","01/20/1993"
"00-0031549","Nelson Agholor",2,"BAL","15","WR","05/24/1993"
"00-0031550","Shaq  Thompson",1,"BUF","45","MLB","04/21/1994"
"00-0031550","Shaq Thompson",2,"CAR","7","ILB","04/21/1994"
"00-0031551","Eddie  Goldman",1,"WAS","97","NT","01/06/1994"
"00-0031551","Eddie Goldman",2,"ATL","91","NT","01/06/1994"
"00-0031554","Eric Kendricks",2,"LAC","54","ILB","02/29/1992"
"00-0031555","Eric Rowe",2,"CAR","21","SS","10/03/1992"
"00-0031557","Jordan Phillips",2,"BUF","97","DT","09/21/1992"
"00-0031561","Hroniss Grasu",2,"LV","","C","08/12/1991"
"00-0031565","Danielle  Hunter",1,"HOU","55","DE","10/29/1994"
"00-0031565","Danielle Hunter",2,"MIN","99","OLB","10/29/1994"
"00-0031576","Za'Darius Smith",2,"CLE","55","DE","09/08/1992"
"00-0031580","Shaq Mason",2,"HOU","69","G","08/28/1993"
"00-0031581","Mark Glowinski",2,"NYG","64","G","05/03/1992"
"00-0031583","Grady  Jarrett",1,"CHI","50","DT","04/28/1993"
"00-0031583","Grady Jarrett",2,"ATL","97","DT","04/28/1993"
"00-0031584","Adrian Amos",2,"NYJ","31","FS","04/29/1993"
"00-0031585","MyCole Pruitt",2,"ATL","85","TE","03/24/1992"
"00-0031587","Bobby McCain",2,"NYG","20","SS","08/18/1993"
"00-0031588","Stefon  Diggs",1,"NE","8","WR","11/29/1993"
"00-0031588","Stefon Diggs",2,"BUF","14","WR","11/29/1993"
"00-0031595","Mike Burton",2,"DEN","45","FB","02/01/1992"
"00-0031596","David Mayo",2,"WAS","51","MLB","08/18/1993"
"00-0031608","Quandre  Diggs",1,"TEN","28","FS","01/22/1993"
"00-0031608","Quandre Diggs",2,"SEA","6","FS","11/07/1991"
"00-0031610","Darren Waller",2,"NYG","83","TE","09/13/1992"
"00-0031619","Christian Covington",2,"DET","95","NT","10/16/1993"
"00-0031687","Raheem Mostert",2,"MIA","31","RB","04/09/1992"
"00-0031690","Eric Tomlinson",2,"HOU","85","TE","04/22/1992"
"00-0031734","Chris Reed",2,"MIN","62","G","07/22/1992"
"00-0031740","Neville Hewitt",2,"HOU","43","ILB","04/06/1993"
"00-0031763","DeAndre  Carter",1,"CLE","2","WR","04/10/1993"
"00-0031763","DeAndre Carter",2,"LV","1","WR","04/10/1993"
"00-0031785","Troy Hill",2,"CAR","23","CB","08/29/1991"
"00-0031795","DeShawn Williams",2,"CAR","90","DE","12/29/1992"
"00-0031800","Taylor Heinicke",2,"ATL","4","QB","03/15/1993"
"00-0031852","David Andrews",2,"NE","60","C","07/10/1992"
"00-0031868","Damiere Byrd",2,"CAR","10","WR","01/27/1993"
"00-0031870","Dean Marlowe",2,"LAC","31","SS","07/25/1992"
"00-0031898","Alex  Singleton",1,"DEN","49","ILB","12/07/1993"
"00-0031898","Alex Singleton",2,"DEN","49","ILB","12/07/1993"
"00-0031911","Rick  Lovato",1,"LAC","41","LS","09/09/1992"
"00-0031911","Rick Lovato",2,"PHI","45","LS","09/09/1992"
"00-0031921","Kendall Lamm",2,"MIA","71","T","06/05/1992"
"00-0031923","Greg Mancz",2,"BUF","67","C","04/23/1992"
"00-0031933","Leonard  Williams",1,"SEA","99","DT","06/20/1994"
"00-0031933","Leonard Williams",2,"NYG","99","DT","06/20/1994"
"00-0031935","Preston Smith",2,"GB","91","OLB","11/17/1992"
"00-0031936","Mitch Morse",2,"BUF","60","C","04/21/1992"
"00-0031938","Carl Davis",2,"NE","98","NT","03/02/1992"
"00-0031941","Jamison Crowder",2,"WAS","82","WR","06/17/1993"
"00-0031957","Rakeem  Nunez-Roches",1,"NYG","93","NT","07/03/1993"
"00-0031957","Rakeem Nunez-Roches",2,"NYG","56","NT","07/03/1993"
"00-0031958","Austin Reiter",2,"KC","","C","11/27/1991"
"00-0032052","Dante  Fowler Jr.",1,"DAL","13","OLB","08/03/1994"
"00-0032052","Dante Fowler Jr.",2,"DAL","6","DE","08/03/1994"
"00-0032053","Brandon Scherff",2,"JAX","75","G","12/26/1991"
"00-0032054","Breshad Perriman",2,"IND","16","WR","09/10/1993"
"00-0032062","Blake Bell",2,"KC","81","TE","08/07/1991"
"00-0032065","Bradley  Pinion",1,"ATL","13","P","06/01/1994"
"00-0032065","Bradley Pinion",2,"ATL","8","P","06/01/1994"
"00-0032071","Trent Brown",2,"NE","77","T","04/13/1993"
"00-0032103","Denzel  Perryman",1,"LAC","6","ILB","12/05/1992"
"00-0032103","Denzel Perryman",2,"HOU","52","ILB","12/05/1993"
"00-0032104","Ameer Abdullah",2,"LV","20","RB","06/13/1993"
"00-0032107","Angelo Blackson",2,"JAX","90","DT","11/14/1992"
"00-0032109","Kwon Alexander",2,"PIT","5","OLB","08/03/1994"
"00-0032127","Markus Golden",2,"PIT","44","OLB","03/13/1991"
"00-0032128","Chris Conley",2,"SF","18","WR","10/25/1992"
"00-0032129","Jordan Hicks",2,"MIN","58","ILB","06/27/1992"
"00-0032132","Max Garcia",2,"NO","73","G","11/09/1991"
"00-0032134","C.J. Uzomah",2,"NYJ","87","TE","01/14/1993"
"00-0032135","Jesse James",2,"NO","18","TE","06/04/1994"
"00-0032141","Geoff Swaim",2,"ARI","87","TE","03/19/1991"
"00-0032143","Danny Shelton",2,"KC","75","NT","08/20/1993"
"00-0032144","Melvin Gordon",2,"BAL","25","RB","04/13/1993"
"00-0032145","Cameron Erving",2,"CAR","75","T","08/23/1992"
"00-0032146","Bud  Dupree",1,"LAC","48","OLB","02/12/1993"
"00-0032146","Bud Dupree",2,"ATL","48","OLB","02/12/1993"
"00-0032150","Steven Nelson",2,"HOU","3","CB","01/22/1993"
"00-0032151","Jon Feliciano",2,"SF","76","C","02/10/1992"
"00-0032156","Trevor Siemian",2,"CIN","15","QB","12/26/1992"
"00-0032162","T.Y. McGill",2,"SF","","DT","11/23/1992"
"00-0032164","Arik  Armstead",1,"JAX","91","DE","11/15/1993"
"00-0032164","Arik Armstead",2,"SF","91","DT","11/15/1993"
"00-0032165","Marcus Peters",2,"LV","24","CB","01/09/1993"
"00-0032195","Ronald Darby",2,"BAL","21","CB","01/02/1994"
"00-0032197","Randy Gregory",2,"DEN","94","OLB","11/23/1992"
"00-0032200","Ty Montgomery",2,"NE","88","WR","01/22/1993"
"00-0032203","Andrus Peat",2,"NO","75","G","11/04/1993"
"00-0032208","Phillip Dorsett",2,"DEN","2","WR","01/05/1993"
"00-0032210","Frank Clark",2,"DEN","55","OLB","06/14/1993"
"00-0032211","Tyler  Lockett",1,"TEN","4","WR","09/28/1992"
"00-0032211","Tyler Lockett",2,"SEA","16","WR","09/28/1992"
"00-0032214","Tyler Kroft",2,"MIA","81","TE","10/15/1992"
"00-0032217","Donovan Smith",2,"KC","76","T","06/23/1993"
"00-0032221","Shane Ray",2,"BUF","","OLB","05/18/1993"
"00-0032222","D.J.  Humphries",1,"LAR","72","T","12/28/1993"
"00-0032222","D.J. Humphries",2,"ARI","74","T","12/28/1993"
"00-0032228","Joe  Cardona",1,"MIA","49","LS","04/16/1992"
"00-0032228","Joe Cardona",2,"NE","49","LS","04/16/1992"
"00-0032233","Cedric Ogbuehi",2,"MIA","","T","04/25/1992"
"00-0032234","Laken  Tomlinson",1,"HOU","75","G","02/09/1992"
"00-0032234","Laken Tomlinson",2,"NYJ","75","G","02/09/1992"
"00-0032242","Rob  Havenstein",1,"LAR","79","T","05/13/1992"
"00-0032242","Rob Havenstein",2,"LAR","79","T","05/13/1992"
"00-0032265","Mario  Edwards",1,"HOU","97","DT","01/25/1994"
"00-0032265","Mario Edwards Jr.",2,"SEA","97","DE","12/01/1975"
"00-0032268","Marcus  Mariota",1,"WAS","8","QB","10/30/1993"
"00-0032268","Marcus Mariota",2,"PHI","8","QB","10/30/1993"
"00-0032269","Henry Anderson",2,"CAR","94","DE","08/03/1991"
"00-0032366","Tyler Matakevich",2,"BUF","44","MLB","12/22/1992"
"00-0032378","DeForest  Buckner",1,"IND","99","DT","03/17/1994"
"00-0032378","DeForest Buckner",2,"IND","99","DT","03/17/1994"
"00-0032379","Eli Apple",2,"MIA","20","CB","08/09/1995"
"00-0032380","Laremy  Tunsil",1,"WAS","78","T","08/02/1994"
"00-0032380","Laremy Tunsil",2,"HOU","78","T","08/02/1994"
"00-0032381","Taylor  Decker",1,"DET","68","T","08/23/1993"
"00-0032381","Taylor Decker",2,"DET","68","T","08/23/1994"
"00-0032382","Keanu Neal",2,"PIT","42","FS","07/06/1995"
"00-0032383","Ryan  Kelly",1,"MIN","78","C","05/30/1993"
"00-0032383","Ryan Kelly",2,"IND","78","C","05/30/1993"
"00-0032384","Germain Ifedi",2,"BUF","74","G","06/02/1994"
"00-0032385","Sterling  Shepard",1,"TB","17","WR","02/10/1993"
"00-0032385","Sterling Shepard",2,"NYG","3","WR","02/10/1994"
"00-0032387","Jarran  Reed",1,"SEA","90","NT","12/16/1992"
"00-0032387","Jarran Reed",2,"SEA","90","NT","12/16/1992"
"00-0032388","Deion  Jones",1,"TB","45","ILB","11/04/1994"
"00-0032391","Joe  Thuney",1,"CHI","62","G","11/18/1992"
"00-0032391","Joe Thuney",2,"KC","62","G","11/16/1992"
"00-0032392","Austin  Hooper",1,"NE","81","TE","10/29/1994"
"00-0032392","Austin Hooper",2,"LV","81","TE","11/04/1994"
"00-0032395","Graham  Glasgow",1,"DET","60","G","08/19/1992"
"00-0032395","Graham Glasgow",2,"DET","61","G","08/19/1992"
"00-0032398","Chris  Moore",1,"WAS","19","WR","06/16/1993"
"00-0032398","Chris Moore",2,"TEN","15","WR","06/16/1993"
"00-0032399","Miles  Killebrew",1,"PIT","28","FS","05/10/1993"
"00-0032399","Miles Killebrew",2,"PIT","28","SS","05/10/1993"
"00-0032401","De'Vondre Campbell",2,"GB","59","ILB","07/01/1993"
"00-0032402","Hassan Ridgeway",2,"HOU","98","DT","11/02/1994"
"00-0032412","Dean Lowry",2,"MIN","94","DE","06/09/1994"
"00-0032415","Matthew  Judon",1,"MIA","8","OLB","08/15/1992"
"00-0032415","Matt Judon",2,"NE","9","OLB","08/15/1992"
"00-0032416","Quinton Jefferson",2,"NYJ","77","DE","03/31/1993"
"00-0032420","Brandon Shell",2,"BUF","72","T","02/06/1992"
"00-0032424","DJ  Reader",1,"DET","98","NT","07/01/1994"
"00-0032424","D.J. Reader",2,"CIN","98","NT","07/01/1994"
"00-0032432","Wes Schweitzer",2,"NYJ","71","G","09/11/1993"
"00-0032434","Brandon  Allen",1,"TEN","10","QB","09/05/1992"
"00-0032434","Brandon Allen",2,"SF","8","QB","09/05/1992"
"00-0032436","Jeff Driskel",2,"ARI","6","QB","04/23/1993"
"00-0032437","Kamu Grugier-Hill",2,"CAR","51","ILB","05/16/1994"
"00-0032442","Elandon  Roberts",1,"LV","52","MLB","04/22/1994"
"00-0032442","Elandon Roberts",2,"PIT","52","ILB","04/22/1994"
"00-0032443","Joey Hunt",2,"SEA","","C","02/22/1994"
"00-0032445","Ted  Karras",1,"CIN","64","C","03/15/1993"
"00-0032445","Ted Karras",2,"CIN","67","C","03/15/1993"
"00-0032450","Dwayne Washington",2,"DEN","24","RB","04/24/1994"
"00-0032454","Jayron Kearse",2,"DAL","27","FS","02/11/1994"
"00-0032463","Kyle Peko",2,"TEN","95","DT","07/23/1993"
