"playid","season","week","gamekey_internal","offense","defense","play_type","quarter","minutes","seconds","yards_to_endzone","down","distance","yards_gained","total_rbs","total_wrs","total_tes","personnel","shotgun","play_action","no_huddle","defenders_in_box","run_direction","yards_created","yards_blocked","target_depth","evaded_tackle1","evaded_tackle2","evaded_tackle3","oline_hurry","qb_seconds_to_throw","throw_under_duress","batted_pass","money_throw","interceptable_pass","danger_play","catchable_pass","contested_target","end_zone_target","drop","pass_breakup","qb_throw_away","receiver_separation_at_target","qb_id","runner_id","targeted_receiver_id","targeted_defender_id","coverage_type","skill1","skill1_route","skill1_motion","skill1_cushion","skill2","skill2_route","skill2_motion","skill2_cushion","skill3","skill3_route","skill3_motion","skill3_cushion","skill4","skill4_route","skill4_motion","skill4_cushion","skill5","skill5_route","skill5_motion","skill5_cushion","qb_pressure_defender1_id","qb_pressure_defender2_id","qb_pressure_defender3_id","pass_breakup_defender_id","description","first_down_gained","redzone","away_team","home_team","off_score","def_score","penalty_team","penalty","blocked_kick","interception","sack","fumble","fumble_lost","over_under","spread","surface","conditions","forecast_temp","forecast_wind"
1106036,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","PASS",1,11,49,"70",1,10,8,1,3,1,"11",1,1,0,7,"","0","8","5","","","",0,"2.6",0,0,0,0,0,1,0,"0",0,0,0,"STP","00-0036389","","00-0034351","00-0036441","3","00-0035676",1,"","7","00-0034844",0,"","","00-0034351",1,"","","00-0037741",1,"P","4","00-0036912",1,"","7","","","","","(11:49) (Shotgun) 1-J.Hurts pass short left to 88-D.Goedert pushed ob at PHI 38 for 8 yards (59-K.Murray).",0,"0","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106037,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",1,11,18,"62",2,2,3,1,2,2,"12",1,0,0,7,"RG","4","-1","","00-0037109","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0034844","","","","00-0035676",0,"","","00-0034844",0,"","","00-0034351",0,"","","00-0037086",0,"","","00-0036912",0,"","","","","","","(11:18) (Shotgun) 26-S.Barkley right guard to PHI 41 for 3 yards (95-K.Clark).",1,"0","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106038,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",1,10,40,"59",1,10,7,1,2,2,"12",0,1,0,7,"RT","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036389","","","2","00-0035676",1,"","7","00-0034844",0,"","","00-0037086",1,"P","","00-0034351",1,"","","00-0036912",1,"","3","","","","","(10:40) 1-J.Hurts scrambles right tackle to PHI 48 for 7 yards (57-J.Sanborn).",0,"0","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106039,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",1,9,56,"52",2,3,16,1,1,3,"13",0,0,0,7,"LE","3","13","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0034844","","","","00-0036912",0,"","","00-0034844",0,"","","00-0034351",0,"","","00-0037086",0,"","","00-0036876",0,"","","","","","","(9:56) 26-S.Barkley left end to DAL 36 for 16 yards (18-D.Clark; 26-D.Bland).",1,"0","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106040,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","PASS",1,9,9,"36",1,10,6,1,3,1,"11",1,0,0,6,"","0","6","5","","","",0,"2.1",0,0,0,0,0,1,0,"0",0,0,0,"CLS","00-0036389","","00-0034351","00-0033877","3","00-0035676",1,"","7","00-0039746",1,"","","00-0034351",1,"","11","00-0036912",1,"P","4","00-0037741",1,"","7","","","","","(9:09) (Shotgun) 1-J.Hurts pass short middle to 88-D.Goedert to DAL 30 for 6 yards (28-M.Hooker).",0,"0","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106041,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",1,8,37,"30",2,4,5,1,3,1,"11",1,0,1,7,"RG","4","1","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0039746","","","","00-0037741",0,"","","00-0036912",0,"P","","00-0034351",0,"","","00-0039746",0,"","","00-0035676",0,"","","","","","","(8:37) (No Huddle, Shotgun) 28-W.Shipley right guard to DAL 25 for 5 yards (18-D.Clark; 59-K.Murray).",1,"0","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106042,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",1,8,8,"25",1,10,20,1,3,1,"11",1,0,1,7,"LE","5","15","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0039746","","","","00-0037741",0,"","","",0,"P","","00-0034351",0,"","","00-0039746",1,"","","00-0035676",1,"","","","","","","(8:08) (No Huddle, Shotgun) 28-W.Shipley left end to DAL 5 for 20 yards (28-M.Hooker; 57-J.Sanborn).",1,"0","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106043,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",1,7,23,"5",1,5,2,1,2,2,"12",0,0,0,7,"LT","1","1","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0034844","","","","00-0036912",0,"","","00-0034351",0,"","","00-0034844",0,"","","00-0037086",0,"","","00-0035676",0,"","","","","","","(7:23) 26-S.Barkley left tackle to DAL 3 for 2 yards (41-D.Ezeiruaku).",0,"1","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106044,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",1,6,41,"3",2,3,-1,1,2,2,"12",0,0,0,7,"RM","0","-1","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0034844","","","","00-0036912",0,"","","00-0034351",0,"","","00-0037086",0,"","","00-0034844",0,"","","00-0035676",0,"","","","","","","(6:41) 26-S.Barkley up the middle to DAL 4 for -1 yards (90-S.Thomas, 59-K.Murray).",0,"1","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106045,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",1,6,1,"4",3,4,4,1,3,1,"11",1,0,0,6,"RE","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036389","","","1","00-0037741",1,"P","3","00-0034351",1,"","5","00-0034844",1,"","4","00-0036912",1,"","4","00-0035676",1,"","4","","","","","(6:01) (Shotgun) 1-J.Hurts scrambles right end for 4 yards, TOUCHDOWN.",0,"1","DAL","PHI",0,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106046,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","FGXP",1,5,55,"15",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","4-J.Elliott extra point is GOOD, Center-47-C.Hughlett, Holder-10-B.Mann.",0,"1","DAL","PHI",6,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106047,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","KOFF",1,5,55,"35",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","4-J.Elliott kicks 63 yards from PHI 35 to DAL 2. 9-K.Turpin to DAL 24 for 22 yards (0-J.Uche; 54-J.Trotter). PENALTY on DAL-35-M.Liufau, Unnecessary Roughness, 12 yards, enforced at DAL 24. Penalty on DAL-14-M.Bell, Unnecessary Roughness, declined.",0,"0","DAL","PHI",7,7,"DAL","Unnecessary Roughness",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106048,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","RUSH",1,5,48,"88",1,10,3,1,3,1,"11",1,0,0,7,"LG","3","0","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036997","","","","00-0038041",0,"","","00-0036997",0,"","","00-0036358",0,"","","00-0037666",0,"","","00-0037247",0,"","","","","","","(5:48) (Shotgun) 33-J.Williams left guard to DAL 15 for 3 yards (97-M.Ojomo; 53-Z.Baun).",0,"0","DAL","PHI",7,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106049,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","PASS",1,5,7,"85",2,7,18,1,3,1,"11",1,1,0,7,"","1","17","13","00-0033878","","",0,"5.6",0,0,0,0,0,1,0,"0",0,0,0,"STP","00-0033077","","00-0036358","00-0036418","2","00-0037247",1,"","7","00-0037801",1,"S","13","00-0036997",0,"","","00-0038041",0,"","","00-0036358",1,"","7","00-0037073","00-0039740","00-0038412","","(5:07) (Shotgun) 4-D.Prescott pass short left to 88-C.Lamb to DAL 33 for 18 yards (32-R.Blankenship) [97-M.Ojomo].",1,"0","DAL","PHI",7,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106050,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","RUSH",1,4,25,"67",1,10,5,1,3,1,"11",0,0,0,7,"RG","3","2","","00-0038412","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036997","","","","00-0037247",0,"","","00-0038738",0,"","","00-0036997",0,"","","00-0038547",0,"","","00-0036358",0,"","","","","","","(4:25) 33-J.Williams right guard to DAL 38 for 5 yards (58-J.Hunt; 33-C.DeJean).",0,"0","DAL","PHI",7,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106051,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","RUSH",1,3,45,"62",2,5,3,1,3,1,"11",0,0,0,6,"LE","3","0","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036997","","","","00-0037801",0,"","","00-0036358",0,"","","00-0038547",0,"P","","00-0036997",0,"","","00-0037247",0,"","","","","","","(3:45) 33-J.Williams left end to DAL 41 for 3 yards (24-A.Mukuba; 30-J.Campbell).",0,"0","DAL","PHI",7,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106052,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","PASS",1,3,1,"59",3,2,26,1,3,1,"11",1,0,0,6,"","3","23","15","","","",0,"3.5",0,0,0,0,0,1,0,"0",0,0,0,"OPN","00-0033077","","00-0036358","00-0033878","1","00-0037247",1,"","7","00-0038041",1,"","1","00-0036997",1,"","","00-0037666",1,"S","2","00-0036358",1,"","8","","","","","(3:01) (Shotgun) 4-D.Prescott pass short left to 88-C.Lamb to PHI 33 for 26 yards (8-A.Jackson).",1,"0","DAL","PHI",7,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106053,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","NOPL",1,2,14,"33",1,10,0,1,3,1,"11",1,0,1,6,"","0","0","0","","","",0,"2.5",0,0,0,0,0,1,0,"0",0,0,0,"TCV","00-0033077","","","00-0037130","1","00-0036358",1,"","6","00-0035243",1,"","","00-0038041",1,"","","00-0037247",1,"","6","00-0037666",1,"","7","","","","","(2:14) (No Huddle, Shotgun) 4-D.Prescott pass short left to 24-M.Sanders to PHI 29 for 4 yards (32-R.Blankenship). PENALTY on DAL-73-T.Smith, Offensive Holding, 10 yards, enforced at PHI 33 - No Play.",0,"0","DAL","PHI",7,7,"DAL","Offensive Holding",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106054,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","PASS",1,1,45,"43",1,20,-3,1,3,1,"11",1,0,0,6,"","0","-3","-5","","","",1,"2.9",0,0,0,0,0,1,0,"0",0,0,0,"CLS","00-0033077","","00-0035243","00-0036418","1","00-0039530",1,"","1","00-0037801",1,"P","","00-0035243",1,"","","00-0037666",1,"","4","00-0037247",1,"","6","00-0036159","","","","(1:45) (Shotgun) 4-D.Prescott pass short right to 24-M.Sanders to PHI 46 for -3 yards (53-Z.Baun).",0,"0","DAL","PHI",7,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106055,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","NOPL",1,0,58,"46",2,23,0,1,3,1,"11",1,0,0,6,"","","","0","","","",0,"3.1",0,0,0,0,0,0,1,"0",0,0,0,"TCV","00-0033077","","","00-0039888","1","00-0036358",1,"","8","00-0037801",1,"P","4","00-0038041",0,"","1","00-0035243",1,"","","00-0037247",1,"","1","","","","","(:58) (Shotgun) 4-D.Prescott pass incomplete deep right to 3-G.Pickens (27-Q.Mitchell). PENALTY on PHI-27-Q.Mitchell, Defensive Pass Interference, 34 yards, enforced at PHI 46 - No Play.",0,"0","DAL","PHI",7,7,"PHI","Defensive Pass Interference",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106056,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","PASS",1,0,51,"12",1,10,0,1,1,3,"13",0,1,0,7,"","","","12","","","",0,"4.3",0,0,0,0,0,0,0,"1",0,0,0,"STP","00-0033077","","00-0037666","00-0039888","2M","00-0039530",1,"","","00-0038041",0,"","","00-0038547",0,"","","00-0036997",0,"","","00-0037666",1,"","6","","","","","(:51) 4-D.Prescott pass incomplete short left to 1-J.Tolbert.",0,"1","DAL","PHI",7,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106057,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","RUSH",1,0,46,"12",2,10,11,1,3,1,"11",1,0,0,7,"RM","9","2","","00-0040708","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036997","","","","00-0037247",0,"","","00-0036997",0,"","","00-0038738",0,"","","00-0039530",0,"S","","00-0036358",0,"","","","","","","(:46) (Shotgun) 33-J.Williams up the middle to PHI 1 for 11 yards (32-R.Blankenship).",1,"1","DAL","PHI",7,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106058,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","RUSH",2,15,0,"1",1,1,1,1,3,1,"11",1,0,0,8,"RM","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036997","","","","00-0037247",0,"","","00-0036358",0,"","","00-0036997",0,"","","00-0038041",0,"","","00-0037666",0,"","","","","","","(15:00) (Shotgun) 33-J.Williams up the middle for 1 yard, TOUCHDOWN.",0,"1","DAL","PHI",7,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106059,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","FGXP",2,14,56,"15",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","17-B.Aubrey extra point is GOOD, Center-44-T.Sieg, Holder-5-B.Anger.",0,"1","DAL","PHI",13,7,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106060,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","KOFF",2,14,56,"35",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","17-B.Aubrey kicks 65 yards from DAL 35 to end zone, Touchback to the PHI 35.",0,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106061,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",2,14,56,"65",1,10,6,1,2,2,"12",1,0,0,7,"RE","3","3","","00-0037275","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0034844","","","","00-0035676",0,"","","00-0037086",0,"","","00-0034351",0,"","","00-0034844",0,"","","00-0036912",0,"","","","","","","(14:56) (Shotgun) 26-S.Barkley right end to PHI 41 for 6 yards (97-O.Odighizuwa; 28-M.Hooker).",0,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106062,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","PASS",2,14,12,"59",2,4,6,1,3,1,"11",1,0,0,6,"","0","6","4","","","",0,"2.4",0,0,0,0,0,1,0,"0",0,0,0,"OPN","00-0036389","","00-0036912","00-0036441","3","00-0034844",1,"","3","00-0037741",1,"","3","00-0034351",1,"","12","00-0036912",1,"","2","00-0035676",1,"","5","","","","","(14:12) (Shotgun) 1-J.Hurts pass short right to 6-D.Smith to PHI 47 for 6 yards (59-K.Murray).",1,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106063,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",2,13,29,"53",1,10,4,1,3,1,"11",1,0,0,6,"RG","2","2","","00-0032052","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0034844","","","","00-0035676",0,"","","00-0036912",0,"","","00-0034844",0,"","","00-0034351",0,"","","00-0037741",0,"","","","","","","(13:29) (Shotgun) 26-S.Barkley right guard to DAL 49 for 4 yards (28-M.Hooker; 54-S.Williams).",0,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106064,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","PASS",2,12,48,"49",2,6,3,1,3,1,"11",1,1,0,6,"","1","2","3","","","",0,"3.1",0,0,0,0,0,1,0,"0",0,0,0,"OPN","00-0036389","","00-0034351","00-0036441","1","00-0037741",1,"","8","00-0036912",1,"","4","00-0034844",0,"","","00-0034351",1,"","12","00-0035676",1,"","8","","","","","(12:48) (Shotgun) 1-J.Hurts pass short right to 88-D.Goedert to DAL 46 for 3 yards (59-K.Murray).",0,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106065,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","PASS",2,12,1,"46",3,3,7,1,1,3,"13",1,0,0,7,"","0","7","7","","","",0,"2.5",0,0,0,0,0,1,0,"0",0,0,0,"CLS","00-0036389","","00-0034351","00-0033877","3","00-0035676",1,"","6","00-0034844",0,"","","00-0036876",1,"P","1","00-0034351",1,"","3","00-0037086",1,"","6","","","","","(12:01) (Shotgun) 1-J.Hurts pass short middle to 88-D.Goedert to DAL 39 for 7 yards (28-M.Hooker).",1,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106066,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","PASS",2,11,19,"39",1,10,1,1,1,3,"13",0,1,0,8,"","","","0","","","",1,"4.2",0,0,0,0,0,1,0,"0",0,0,0,"OPN","00-0036389","","00-0036876","00-0035301","2","00-0036912",1,"","7","00-0036876",0,"","","00-0034844",0,"","","00-0037086",0,"P","5","00-0034351",1,"","7","00-0033870","","","","(11:19) 1-J.Hurts pass short right to 83-K.Granson ran ob at DAL 38 for 1 yard.",0,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106067,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",2,10,38,"38",2,9,9,1,3,1,"11",1,0,0,6,"LE","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036389","","","6","00-0036912",1,"","8","00-0037741",1,"","5","00-0034844",1,"","","00-0037086",1,"","","00-0035676",1,"","7","","","","","(10:38) (Shotgun) 1-J.Hurts scrambles left end to DAL 29 for 9 yards (20-K.Elam).",0,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106068,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",2,9,52,"29",1,10,4,1,1,3,"13",0,0,0,7,"RE","2","2","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0034844","","","","00-0034351",0,"","","00-0034844",0,"","","00-0036876",0,"P","","00-0037086",0,"","","00-0035676",0,"","","","","","","(9:52) 26-S.Barkley right end to DAL 25 for 4 yards (94-M.Kneeland).",0,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106069,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","RUSH",2,9,11,"25",2,6,1,1,2,2,"12",0,0,0,7,"LG","2","-1","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0039746","","","","00-0036912",0,"","","00-0034351",0,"","","00-0037086",0,"","","00-0039746",0,"","","00-0035676",0,"","","","","","","(9:11) 28-W.Shipley left guard to DAL 24 for 1 yard (97-O.Odighizuwa).",0,"0","DAL","PHI",7,14,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
